"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009765","photosynthesis, light harvesting",29,-0.846624902738572,-1.88351189294994,0.000181753881870531,0.00589564154317536,0.00524933908823443,537,"tags=66%, list=10%, signal=59%","AT1G29930/AT4G02530/AT1G08380/AT2G05100/AT1G29910/AT2G05070/AT3G54890/AT3G08940/AT1G29920/AT1G54780/AT1G15820/AT1G61520/AT1G75690/AT3G27690/AT1G55480/AT3G47470/AT5G54270/AT4G10340/AT3G61470"
"GO:0042742","defense response to bacterium",173,0.664780449305325,1.68621941634669,0.000179011183054506,0.00589564154317536,0.00524933908823443,653,"tags=32%, list=13%, signal=29%","AT4G31500/AT1G18570/AT2G37710/AT5G44585/AT2G24570/AT1G64170/AT1G26420/AT2G40750/AT5G11630/AT1G02920/AT5G27420/AT1G35230/AT5G44568/AT5G06320/AT5G42000/AT1G26380/AT1G21120/AT1G76930/AT1G65500/AT4G12480/AT5G47010/AT5G57220/AT2G45220/AT2G13810/AT2G23810/AT1G21110/AT3G56710/AT5G39670/AT4G31800/AT5G64810/AT3G54640/AT1G08830/AT5G24110/AT2G39660/AT4G23810/AT4G02410/AT5G49520/AT5G05300/AT5G24210/AT3G50260/AT2G46400/AT1G66340/AT5G22570/AT4G39950/AT4G39090/AT1G52740/AT3G20600/AT3G55450/AT4G03960/AT3G53810/AT2G47130/AT1G66700/AT4G33430/AT1G02450/AT4G03550"
"GO:0042440","pigment metabolic process",66,-0.715383535493775,-1.81811063284145,0.000198179356052459,0.00623364156310461,0.00555028627158082,691,"tags=36%, list=13%, signal=32%","AT4G17880/AT1G69740/AT1G44446/AT5G58250/AT5G47110/AT2G20570/AT1G19670/AT2G35260/AT4G25080/AT4G01900/AT2G26670/AT4G27440/AT4G27430/AT2G20890/AT5G45930/AT5G13930/AT1G03630/AT3G59400/AT1G58290/AT4G17600/AT1G74470/AT3G56940/AT4G18480/AT5G18660"
"GO:0046148","pigment biosynthetic process",56,-0.744501684177296,-1.828668858015,0.000241769887746105,0.00738109245530757,0.00657194927062169,691,"tags=39%, list=13%, signal=34%","AT4G17880/AT1G69740/AT1G44446/AT5G58250/AT5G47110/AT2G20570/AT2G35260/AT4G25080/AT4G01900/AT2G26670/AT4G27440/AT4G27430/AT5G45930/AT5G13930/AT1G03630/AT3G59400/AT1G58290/AT4G17600/AT1G74470/AT3G56940/AT4G18480/AT5G18660"
"GO:0009314","response to radiation",250,-0.509258052974728,-1.54236479994941,0.000312588640126693,0.00901297245698631,0.00802493643366188,559,"tags=24%, list=11%, signal=22%","AT3G02730/AT2G31380/AT1G29930/AT2G06850/AT2G24790/AT3G17800/AT1G06040/AT3G57290/AT2G05620/AT1G10522/AT2G47450/AT2G28190/AT2G21650/AT1G16880/AT2G05100/AT4G01900/AT2G26670/AT3G12610/AT1G29910/AT4G27430/AT2G05070/AT3G54890/AT3G08940/AT3G26650/AT1G29920/AT2G21320/AT1G15820/AT2G39730/AT5G63310/AT5G13930/AT1G20340/AT1G35460/AT3G15850/AT5G08050/AT1G19350/AT1G74730/AT1G61520/AT1G44575/AT1G58290/AT3G30180/AT3G02380/AT3G62030/AT1G54520/AT1G60950/AT4G03280/AT1G73870/AT3G27690/AT4G13770/AT2G42690/AT4G25050/AT1G55480/AT3G47470/AT5G54270/AT4G10340/AT4G25100/AT1G14280/AT3G61470/AT1G78370/AT5G66570"
"GO:0009416","response to light stimulus",250,-0.509258052974728,-1.54236479994941,0.000312588640126693,0.00901297245698631,0.00802493643366188,559,"tags=24%, list=11%, signal=22%","AT3G02730/AT2G31380/AT1G29930/AT2G06850/AT2G24790/AT3G17800/AT1G06040/AT3G57290/AT2G05620/AT1G10522/AT2G47450/AT2G28190/AT2G21650/AT1G16880/AT2G05100/AT4G01900/AT2G26670/AT3G12610/AT1G29910/AT4G27430/AT2G05070/AT3G54890/AT3G08940/AT3G26650/AT1G29920/AT2G21320/AT1G15820/AT2G39730/AT5G63310/AT5G13930/AT1G20340/AT1G35460/AT3G15850/AT5G08050/AT1G19350/AT1G74730/AT1G61520/AT1G44575/AT1G58290/AT3G30180/AT3G02380/AT3G62030/AT1G54520/AT1G60950/AT4G03280/AT1G73870/AT3G27690/AT4G13770/AT2G42690/AT4G25050/AT1G55480/AT3G47470/AT5G54270/AT4G10340/AT4G25100/AT1G14280/AT3G61470/AT1G78370/AT5G66570"
"GO:0031347","regulation of defense response",95,0.723577735113874,1.73817822745598,0.000423919143088246,0.0118926505547459,0.0105889333607818,435,"tags=19%, list=8%, signal=18%","AT5G51450/AT4G39260/AT5G44585/AT2G21660/AT2G29460/AT3G52400/AT2G40750/AT5G05190/AT5G13190/AT3G26830/AT5G20480/AT5G39670/AT4G31800/AT2G39660/AT4G23810/AT3G22231/AT5G35620/AT5G05300"
"GO:0098660","inorganic ion transmembrane transport",47,0.820903717548175,1.78343094569698,0.00044055684059554,0.0120341579088992,0.0107149281452323,205,"tags=21%, list=4%, signal=21%","AT5G50200/AT2G39210/AT1G05300/AT3G45060/AT1G64170/AT2G22500/AT3G48850/AT1G71880/AT5G20650/AT1G69870"
"GO:0022613","ribonucleoprotein complex biogenesis",150,-0.562389754433356,-1.61835360237096,0.000454700879605349,0.0121020387956501,0.0107753676732388,1032,"tags=35%, list=20%, signal=29%","AT2G44860/AT5G20290/AT1G55140/AT5G61170/AT1G49970/AT2G17240/AT1G20960/AT2G47990/AT5G62440/AT3G49910/AT5G27720/AT1G06190/AT2G20490/AT1G13160/AT5G02610/AT2G47640/AT1G69620/AT5G27700/AT3G09200/AT3G09500/AT3G61110/AT3G62870/AT1G60000/AT5G15520/AT1G26880/AT5G50250/AT1G25260/AT4G27090/AT2G32060/AT1G50920/AT2G47610/AT3G11510/AT1G60770/AT3G25520/AT3G55750/AT2G33800/AT5G39740/AT2G37990/AT1G01080/AT5G16130/AT1G72370/AT4G12600/AT1G41880/AT4G25630/AT1G29430/AT5G46580/AT2G01250/AT3G52380/AT3G63140/AT4G24770/AT3G52150/AT1G09340"
"GO:0015994","chlorophyll metabolic process",35,-0.791924103530327,-1.82076312876484,0.000514392658675219,0.0133484894926219,0.0118851777451801,653,"tags=54%, list=13%, signal=48%","AT1G44446/AT5G58250/AT5G47110/AT2G20570/AT1G19670/AT2G35260/AT4G25080/AT4G27440/AT4G27430/AT2G20890/AT5G45930/AT1G03630/AT3G59400/AT1G58290/AT4G17600/AT1G74470/AT3G56940/AT4G18480/AT5G18660"
