"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0080044","quercetin 7-O-glucosyltransferase activity","5/131","28/9391",0.178571428571429,12.801254089422,7.43811032559218,3.71629197580656e-05,0.00590890424153243,0.00512457104032273,"AT1G05680/AT2G15490/AT2G36790/AT2G36800/AT4G34135",5
"GO:0008171","O-methyltransferase activity","4/131","17/9391",0.235294117647059,16.8675348001796,7.78815159121918,7.47685067338631e-05,0.00594409628534212,0.00515509178007161,"AT1G21100/AT1G21110/AT1G21120/AT1G21130",4
"GO:0046527","glucosyltransferase activity","7/131","86/9391",0.0813953488372093,5.83499023610865,5.35734468076553,0.000188335757090594,0.00998179512580148,0.0086568365539887,"AT1G05680/AT2G15490/AT2G36790/AT2G36800/AT4G25810/AT4G30280/AT4G34135",7
"GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","8/131","124/9391",0.0645161290322581,4.62496921940409,4.83290807769535,0.000328572630066744,0.0130607620451531,0.011327109089143,"AT4G22710/AT4G37370/AT5G43450/AT5G57220/AT1G43800/AT2G38240/AT3G55970/AT5G24530",8
"GO:0008757","S-adenosylmethionine-dependent methyltransferase activity","6/131","80/9391",0.075,5.37652671755725,4.6756216923642,0.000848507959951827,0.0269825531264681,0.0234009563691977,"AT1G21100/AT1G21110/AT1G21120/AT1G21130/AT1G66700/AT3G54150",6
"GO:0080043","quercetin 3-O-glucosyltransferase activity","4/131","33/9391",0.121212121212121,8.68933610918344,5.26280459167566,0.00108156129079245,0.028661374206,0.0248569349287388,"AT1G05680/AT2G15490/AT2G36790/AT4G34135",4
"GO:0035251","UDP-glucosyltransferase activity","5/131","60/9391",0.0833333333333333,5.97391857506361,4.59698569731606,0.00144585717896899,0.0328416130651527,0.0284822993150281,"AT1G05680/AT2G15490/AT2G36790/AT2G36800/AT4G34135",5
