"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0018958","phenol-containing compound metabolic process",36,-0.872000166817685,-1.83412553499299,3.79840473417597e-05,0.0446359411915881,0.0436777543751183,441,"tags=31%, list=5%, signal=29%","AT1G73805/AT3G48720/AT2G37040/AT2G02390/AT2G23610/AT3G52430/AT1G74710/AT5G10300/AT5G54160/AT4G10500/AT5G24530"
"GO:0009696","salicylic acid metabolic process",28,-0.899904041273666,-1.83288816898885,6.16093046122679e-05,0.0446359411915881,0.0436777543751183,441,"tags=29%, list=5%, signal=27%","AT1G73805/AT2G37040/AT2G23610/AT3G52430/AT1G74710/AT5G10300/AT4G10500/AT5G24530"
